key,singer
211,Philharmonia Orchestra
212,Chicago Symphony Orchestra
213,Fritz Reiner
214,Elisabeth Schwarzkopf
215,Hans Hopf
216,Otto Edelmann
217,Bayreuth Festival Orchestra
218,NBC Symphony Orchestra
219,Jeanette MacDonald
220,Nelson Eddy
221,Willem Mengelberg
222,London Symphony Orchestra
223,Felix Weingartner
224,Robe
225,Chorus
226,Royal Philharmonic Orchestra
227,Hermann Scherchen
228,René Leibowitz
229,Wilma Lipp
230,Marga Höffgen
231,Murray Dickie
232,Gottlob Frick
233,Chorale Elisabeth Brasseur
234,Gilda Gray
235,Kalanidhi Rathin Ghosh
236,Marika Kanaropoulou
237,Vaios
238,Malliaras
239,Klarino
240,I. Ogdontakis
241,Violi
242,Saltoy Maria
243,Mixalis Xatzis
244,Dimitris Mpenetos
245,The Cotton Candy Blues Band
246,Anonymous
247,Thomanerchor Leipzig
248,Günther Ramin
249,周璇
250,Georgia Mitaki
251,Giorgos Anestopoulos
252,Luciano Tajoli
253,Kostas
254,Giaoyzos
255,Anuradha Paudwal
256,Nilla Pizzi
257,Duo Fasano
258,Achille Togliani
259,Jaganmoy Mitra
260,Gino Latilla
261,Kalyani
262,Tasos Xalkias-Klarino
263,Luis Rovira y su Orquesta
264,Jararaca E Ratinho
265,Nikos Rellias
266,Bedřich Smetana
267,Marie Podvalová
268,Stanislav Muž
269,Vilém Zítek
270,Josef Vojta
271,Ota Horáková
272,Marta Krásová
273,Jaroslav Veverka
274,Prague National Theatre Chorus
275,Prague National Theatre Orchestra
276,Jan Maria Ouředník
277,Václav Talich
278,Josef Křikava
279,Richard Levitt
280,Charles Byrd
281,Carl Tucker
282,Wilmoth Houdini
283,Ying Yin Wu
284,Marika Ninou
285,Mixalis Kalergis
286,Euaggelos Sofroniou
287,Anna Likiardopoulou
288,Ansambl Biljana
289,The Gns Band
290,Kanak Das Biswas
291,Ioanna Georgokopoulou
292,Giorgos Panagiotopoylos-Koyros)
293,Mr. Padgaonkar
294,Victor Arden
295,Adam Caroll
296,Abbasuddin Ahmed
297,Jay McShann & His Orchestra
298,Markos Vamvakaris
299,Surendra
300,Jyoti
301,Charlie Chaplin
302,Dimitris Perdikopoulos
303,Orchestra Studio 7
304,Carlo Buti
305,Rudolf Serkin
306,John Philip Sousa
307,Claudio Villa
308,葛蘭
309,Lata Mangeshkar
310,Tapi Dharma Rao
311,Asha Bhosle
312,Mohammed Rafi
313,Ezio Pinza
314,Margit Bokor
315,Johann Sebastian Bach
316,Claudio Arrau
317,Giuseppe Verdi
318,Gino Marinuzzi
319,Carlo Tagliabue
320,Galliano Masini
321,Maria Caniglia
322,Mina
323,Shanta Apte
324,Uma Devi
325,Giacomo Rondinella
326,Orquesta Bizarros
327,Elisabeth Schumann
328,白光
329,Kanan Devi
330,Chittoor V. Nagaiah
331,Bruno Erminero
332,Dario Caselli
333,Giuseppe Nessi
334,Maurice Ravel
335,Oscar Levant
336,George Gershwin
337,Wilhelm Kempff
338,Peter Raabe
339,Natalino Otto
340,Paul van Kempen
341,Pasupuleti Kannamba
342,C S R Anjaneyulu
343,Charles Koechlin
344,Bidu Sayão
345,Noor Jehan
346,Claude Debussy
347,Parul Ghosh
348,Arun Kumar
349,Giorgio Consolini
350,N. Vanaja
351,Malathi
352,Carlos Roldán
353,Saturno Meletti
354,Tancredi Pasero
355,Maria Cebotari
356,Isaac Donayesvsky
357,Paul Robeson Jr.
358,Lawrence Brown
359,Carla Boni
360,Reynaldo Hahn
361,Paul Breisach
362,Columbia Concert Orchestra
363,Vimla
364,Fakir Mohammad
365,Morton Gould
366,Morton Gould Orchestra
367,M.M.Dandapani Desikar
368,Nalini Jaywant
369,Satish
370,Jerome Kern
371,Sir John Barbirolli
372,Stan Kenton
373,Chapuseaux y Damirón
374,William Kapell
375,Modest Mussorgsky
376,Sonny Boy Williamson I
377,Эрих Мария Ремарк
378,Premnath
379,Sergei Prokofiev
380,Antal Doráti
381,Gioachino Rossini
382,Charles Adams Prince
383,Giuseppe Campanari
384,紫薇
385,Gustav Mahler
386,Darius Milhaud
387,Pierre Monteux
388,Adolfo Berón
389,Federico García Lorca
390,Guillermo Coral
391,Alberto Arenas
392,Abram Chasins
393,Feliciano Brunelli Y Su Orquesta
394,Joseph Szigeti
395,M. L. Vasanthakumari
396,Marlboro Festival Octet
397,M. S. Subbulakshmi
398,Shamshad Begum
399,Orkestr Borisa Shermana
400,Boris Sherman
401,Rostislav Pljatt
402,Vasiliy Kachalov
403,Ania Dorfmann
404,Igor Stravinsky
405,Edmund Kurtz
406,AmáΙia Rodrigues
407,Lowell Fulson
408,Khursheed Bano
409,Traditional
410,Yehudi Menuhin
411,John Williams
412,Joshua Bell
413,Ghulam Haider
414,Karl Krueger
415,Detroit Symphony Orchestra
416,Hemant Kumar
417,Jazz At The Philharmonic
418,Joseph-Hector Fiocco
419,The Hollywood Four Blazes
420,Bechu Dutta
421,Édouard Lalo
422,Béla Bartók
423,Benny Goodman
424,Eugene Istomin
425,Arthur Rubinstein
426,Gregor Piatigorsky
427,Alfred Wallenstein
428,Franz Schubert
429,Amar
430,George Frideric Handel
431,The Liverpool Philharmonic Orchestra
432,Sir Malcolm Sargent
433,Harishchandra Bali
434,Maryla Jonas
435,University of North Texas Symphony Orchestra
436,David Raksin
437,Ninu Mazumder
438,Master Krishnarao
439,Pt. Amarnath
440,Anupam Ghatak
441,Shyam Babu
442,Pyotr Ilyich Tchaikovsky
443,Nelly Omar
444,Enrique Lucero
445,Georges Bizet
446,George Sebastian
447,Metropolitan Opera Orchestra
448,Manik Varma
449,Pandya
450,Jacques Ibert
451,Henri Vieuxtemps
452,The New Symphony Orchestra Of London
453,Quartetto Stars con Orchestra Pippo Barzizza
454,Bernard Herrmann
455,Nikolai Rimsky-Korsakov
456,Geeta Dutt
457,Giacomo Puccini
458,Michel De Villers
459,Buck Clayton
460,H Khan Mastana
461,Zohrabai Ambalawali
462,B Jayamma
463,Lachhiram
464,Ernest Ansermet
465,Robert Casadesus
466,Manfried Rössner
467,Isaac Stern
468,Paul Pasquier
469,Satya Chowdhury
470,Shyam Kumar
471,Jagmohan Sursagar
472,Franz Waxman
473,Tani
474,Chacha
475,Arnold Michaelis
476,Georges Auric
477,Roger Desormières
478,Ottokar Nováček
479,Bell Telephone Hour Orchestra
480,Donald Voorhees
481,Adolf Busch
482,Busch Chamber Players
483,Lillian Hayman
484,Gaetano Donizetti
485,Andrea Rost
486,Sir Charles Mackerras
487,George Szell
488,P L Deshpande
489,Shrimati Ghosh
490,The Soft Winds
491,Gouri Kedar Bhattacharya
492,Hubert Fol
493,Joe Mooney
494,Udit Narayan
495,Kavita Krishnamurthy
496,Naseem Akhtar
497,Aram Khachaturian
498,Woody Herman & His Orchestra
499,Roshan Ara Begum
500,Anima Ghosh
501,Dwijen Chowdhury
502,Hameeda Bano
503,A. R. Ojha
504,Απόστολος Χατζηχρήστος
505,Giannis Papaioannou
506,Joe E. Brown
507,Cornelius Peeples
508,Porter W. Heaps
509,Avinash
510,Jyotsna Bhole
511,Mstislav Rostropovich
512,Jean-Pierre Rampal
513,Supriti Ghosh
514,Suraiya
515,Leonard Rose
516,Cleveland Orchestra
517,Μαρίκα Φραντζεσκοπούλου
518,Gene Autry
519,Antonio Vivaldi
520,Eugene Ormandy
521,Philadelphia Orchestra
522,Rafiq Ahmed
523,Gaby Casadesus
524,Thomas Moore
525,Eileen Farrell
526,Charles Lichter
527,A. R. Oza
528,Avinash Vyas
529,Honoré de Balzac
530,Columbia Orchestra
531,David Raskin
532,Zafar Khurshid
533,Max Bruch
534,Manabendra Mukherjee
535,Asleep At The Wheel
536,Dilshad Begum
537,Kusum Mantri
538,Α.Νταλγκά
539,Billy Joe Shaver
540,Rajkumari
541,Rosanne Cash
542,Alberto Rabagliati
543,Patanjali
544,Amirbai Karnataki
545,S. Varalakshmi
546,Sushila Rani
547,Sudha Mukherjee
548,Amilcare Ponchielli
549,Giuseppe Patanè
550,Hungarian State Orchestra
551,Indrabadan Bhatt
552,Zeenat Begum
553,Orquesta Tejada
554,Richard Rodgers
555,Luther Henderson
556,Luther Henderson Orchestra
557,Pablo de Sarasate
558,Louis Lane
559,T. R. Mahalingam
560,Lalita Dewoolkar
561,Eduard van Beinum
562,Sunetra
563,V. S. Jog
564,Pannalal Bhattacharya
565,Yves Montand
566,Saroj Velinkar
567,Doris Day
568,Paul Weston And His Orchestra
569,Emanuel Bay
570,Harry Gold & His Pieces Of Eight
571,Michael Tilson Thomas
572,Luis Cobos
573,Μιχάλης Καλέργης
574,Mohammed Farooqui
575,Charles Rosen
576,Ghantasala
577,CBC Symphony Orchestra
578,Umm Kulthum
579,Manik Dadarkar
580,R. Sharma
581,Debabrata Biswas
582,Geeta Sen Naha
583,Seiji Ozawa
584,Meena Kapoor
585,Candy Johnson
586,Budapest String Quartet
587,Samaresh Roy
588,Shankar Dasgupta
589,Giuseppe Antonicelli
590,Alauddin
591,Marlene
592,Antonín Dvořák
593,Nat King Cole Trio
594,John Stafford Smith
595,Woody Herman Orchestra
596,Mohantara Talpade
597,Esa-Pekka Salonen
598,P. A. Periyanayaki
599,Robert Heinrich
600,Robert Nagel
601,G. I. Gurdjieff
602,Lucho Oliva
603,Parvez Kapadia
604,Kiri Te Kanawa
605,Sir John Pritchard
606,Harish Bhardwaj
607,M. K. Thyagaraja Bhagavathar
608,Münir Nurettin Selçuk
609,Edvard Grieg
610,Mukesh
611,Ernest Bloch
612,Walter Trampler
613,T. S. Bhagavathi
614,Safiye Ayla
615,Leela Mehta
616,G. M. Durrani
617,Camille Saint-Saëns
618,Charles Münch
619,Salvatore Cardillo
620,Mario Lanza
621,Constantine Callinicos
622,André Gide
623,Jean Amrouche
624,Pietro Mascagni
625,Richard Tucker
626,Colette
627,André Parinaud
628,Robert Casadessus
629,Irving Berlin
630,Johnny V. R. Thompson
631,Allyn McLerie
632,Miss Liberty Ensemble
633,Jay Blackton
634,Shanta Kunwar
635,Laurence Guittard
636,Christine Andreas
637,Fromental Halévy
638,Wilfrid Pelletier
639,Robin Majumdar
640,Dilip Dholakia
641,Bourvil
642,Sulochana Kadam
643,Alexander Zakin
644,Mitch Miller & The Sing-Along Gang
645,Κούλα Νικολαϊδου
646,Ralph Vaughan Williams
647,Leopold Stokowski
648,Aaron Copland
649,Martha Lipton
650,Hans Knappertsbusch
651,Mary Martin
652,Girl Crazy Ensemble (1952)
653,Lehman Engel
654,Munawwar Sultana
655,Hariram
656,Dorothy Kirsten
657,Fausto Cleva
658,Charles Mingus
659,Joaquín Rodrigo
660,Fausto Cleva [Conductor]
661,Franz von Suppé
662,Sir Georg Solti
663,N. S. Krishnan
664,T A Madhuram
665,Lalita Phadke
666,Balakram
667,Frank Wedekind
668,Cole Porter
669,Lisa Kirk
670,Harold Lang
671,Pembroke Davenport
672,Original Broadway Cast Orchestra
673,Carlos Montoya
674,Edward Elgar
675,Andrew Davis
676,Benjamin Britten
677,André Previn
678,Ernesto DeCurtis
679,Max Rudolf
680,Vienna State Opera Orchestra
681,Nello Santi
682,Purshottam
683,Manna Dey
684,Consuelo Torres Ortiz Velazquez
685,Ray Sinatra
686,Shanti Sharma
687,Harish
688,Nasim Begum
689,Marvin Hamlisch
690,Various Artists
691,Don Pippin
692,Bing Crosby
693,Victor Young & His Orchestra
694,Sudha Malhotra
695,Moriche Patiño
696,Richard Arnell
697,Alejandro Cardona
698,Veronica Gonzalez Day
699,Noe Fajardo Y Su Orquesta
700,Freire
701,Osman
702,Perez
703,Annabelle Hill
704,"Kiss Me, Kate Ensemble"
705,Zino Francescatti
706,Alcides Briceño
707,Acerina Y Su Danzonera
708,Future Rapper
709,A. P. Komala
710,Os Cariocas
711,Sailesh Mukherjee
712,Totò
713,Pushpa Hans
714,Erik Satie
715,Efrem Kurtz
716,Houston Symphony
717,Fernando Sor
718,Ottorino Respighi
719,Balbir
720,Stauros Tzouanakos
721,Percy Faith & His Orchestra
722,Sotiria Bellou
723,Καλλιγέρη
724,Δημήτρης Σέμσης
725,Sholom Secunda
726,Marika Fratzeskopoulou
727,Alekos Kitsakis
728,"Female Sundanese singer, katjapi player"
729,Marina Polixronopoulou
730,Panagiotis Plastiras
731,Δημήτρης Περδικόπουλος
732,Stélios Kazantzídis
733,Columbia Jazz Combo
734,"Goundi soloist, girls"
735,Marc Lavry
736,Thomas Z. Shepard
737,Νίτσα Μόλλυ
738,Poza Eskenazi
739,"Female Okandi chorus, three male drummers"
740,Danny Kaye
741,Heitor dos Prazeres
742,Paulo De Oliveira
743,Alekos Dimou
744,Stavros Tzouanakos
745,Mixalis Thomakos
746,Luigi Denza
747,Nicolas Flagello
748,Fotis Polimeris
749,Νίκος Γούναρης
750,Ορχήστρα Σπύρου Περιστέρη
751,Thanasis Varsamas
752,Talat Mahmood
753,Δημήτρης Αραπάκης
754,Gayatri Bose
755,Dwijen Mukherjee
756,Arturo Buzzi-Peccia
757,Alfredo Antonini
758,Krishan Dayal
759,Dock Reed
760,Ν.Φραγγιά
761,Κώστας Κοντόπουλος
762,Stathis Koukoularis
763,Ted Heath
764,Νίκος Τζουγάνος
765,Αλέκος Καραβίτης
766,Mario Reis
767,Raj Khosla
768,Theo Adam
769,Otmar Suitner
770,Robert Wright
771,Franz Allers
772,Ντούο Σταμπούλ
773,Γιάννης Τζιβάνης
774,P. Leela
775,Prof. Enayet Khan
776,Andreas Spagadoros
777,Call Me Madam Ensemble
778,Takis Karnavas
779,Sundef
780,Chitalkar
781,Panos Gavalas
782,Jayamala Shiledar
783,Stan Freeman
784,Dick Jurgens & His Orchestra
785,Anantadev Mukherjee
786,Giorgos Xatzimixalis
787,Jikki
788,Vasilis Agrafiotis
789,Ν.Τσάμης
790,Κούλα Μιχαηλίδου
791,Katina Meidani
792,Sean McGonigal
793,Svend Asmussen
794,Unspecified
795,Lukas Foss
796,Giannis Verras
797,Columbia Wind Ensemble
798,Nancy Williams
799,Antonia Butler
800,Michael Clark
801,Mark Brown
802,Johann Strauss II
803,Vienna State Opera Chorus
804,Clemens Krauss
805,Eddie Heywood
806,Catalonian cobla group
807,Gebrüder Grimm
808,The Voices Of Walter Schumann
809,Khemchand Prakash
810,Mario Rossi
811,Orchestra Sinfonica di Roma della RAI
812,John Cage
813,Maro Ajemian
814,"Male Hebrew vocalist, congregation"
815,Josef Strauss
816,Fernando Corena
817,Renata Tebaldi
818,Giacinto Prandelli
819,Hilde Gueden
820,Giovanni Inghilleri
821,Raphael Arié
822,Alberto Erede
823,Ugo Tansini
824,Orchestra Sinfonica e Coro di Torino della RAI
825,Sigmund Romberg
826,Elizabeth Doubleday
827,Vittorio Gui
828,V Tatian
829,Wiener Hofmusikkapelle
830,János Starker
831,Maximilian Pilzer
832,Castle Hill Orchestra
833,Umberto Giordano
834,Orchestra Lirica e Coro di Milano della RAI
835,Edgar Allan Poe
836,Die Starlets
837,Giuseppe Taddei
838,Orchestra Sinfonica Di Torino Della Rai
839,Rosanna Carteri
840,Johann Strauss I
841,Fernando Previtali
842,Orchestra Sinfonica e Coro di Roma della RAI
843,Gino Bechi
844,Vincenzo Bellini
845,Marika Rossa
846,Alberto Ruiz
847,Jean Cocteau
848,Hans J. Salter
849,Cristiano Dalamangas
850,Caterina Mancini
851,Licia Rossini
852,Nicholas Brodszky
853,Οrquesta Maestro Torroba
854,Lola Flores
855,Male singers with marimba
856,Francesco Cilea
857,Orchestra di Torino Della RAI
858,Arturo Basile
859,Ferruccio Tagliavini
860,Joe Bushkin & Trio
861,Giulietta Simionato
862,S. P. Balasubrahmanyam
863,Bill Clifton
864,Undine Von Medvey
865,Eastern Serbian performers with violin and clarinet
866,Leó Weiner
867,Otto Herz
868,MGM Studio Orchestra
869,Johnny Green
870,Male Abakwa chorus and drummers from Guanabacoa
871,Harrison Muller
872,Rudyard Kipling
873,Girl with accordion accompaniment
874,Alexander Schneider Quintet
875,Müzeyyen Senar
876,Alfredo Simonetto
877,Orchestra Lirica e Coro di Torino della Rai
878,Orchestra lirica di Milano della RAI
879,Andrew Rowan Summers
880,Jatileswar Mukherjee
881,Neeta Den
882,Sachin Gupta
883,Carl Millöcker
884,Ljuba Welitsch
885,Rudolf Moralt
886,Old Harp Singers of Eastern Tennessee
887,Patricia St. John
888,Valentino Fioravanti
889,Orchestra dell\
890,Fred von Hoerschelmann
891,Gabriele Santini
892,Maria Callas
893,Shamalji
894,François Mauriac
895,Alfred Poell
896,Günther Treptow
897,Karl Dönch
898,Satinath Mukherjee
899,Clive Richardson
900,Émile Waldteufel
901,George and Madeleine Brown
902,Keilberth
903,Varnay
904,Lorenz
905,Uhde
906,Greindl
907,Modl
908,Siewert
909,Pithapuram Nageswara Rao
910,Andrea Falconieri
911,Irma Kolassi
912,Jacqueline Bonneau
913,Moti Bai
914,Vijaya
915,Mulchand
916,Jo Vincent
917,Ilona Durigo
918,Louis van Tulder
919,Herman Schey
920,Amsterdam Toonkunst Choir
921,Carl Maria von Weber
922,Karel Martiš
923,Orchestr lidových nástrojů VUS Ondráš z Brna
924,Dívčí pěvecký sbor Zvoneček z Rožnova pod Radhoštěm
925,Κώστας Ρούκουνας
926,Pablo Casals
927,Coro di Roma della RAI
928,Ebe Stignani
929,Graziella Sciutti
930,Paul Baumgartner
931,Erik Then-Bergh
932,Mabel Mercer
933,Sonny Terry
934,Krishna Chatterjee
935,Tarun Banerjee
936,Giovanni Battista Pergolesi
937,K.C. Douglas
938,Gerry Mulligan Band
939,László Szemere
940,August Jaresch
941,Erich Majkut
942,Dorothea Siebert
943,Ester Réthy
944,Georgine Von Milinkovic
945,Sieglinde Wagner
946,Wallace House
947,Rusendezagekwe
948,The Ayida Group
949,Serge Koussevitzky
950,Heinz Rehfuss
951,André Vessieres
952,Suzanne Danco
953,Jamuna Rani
954,Inge Borkh
955,Hans Hotter
956,Ira Malaniuk
957,Josef Greindl And Astrid Varnay
958,Bhupen Hazarika
959,Eddie Fisher
960,Hermes Nye
961,Karl Erb
962,Willem Ravelli
963,Alexander Schneider
964,Joseph Keilberth
965,Margaret Whiting
966,Lou Busch & His Orchestra
967,Giulio Neri
968,Manfredi Ponz De Leon
969,Nicola Rossi-Lemeni
970,André Collard
971,Abdel Aziz Mahmoud
972,Malati Pande
973,Amar Sheikh
974,Aldenhoff
975,Hotter
976,Kuen
977,Neidlinger
978,Böhme
979,Bugarinovic
980,Streich
981,Ljubomir Pantscheff
982,Harald Pröglhöf
983,Hermann Gallos
984,Wilhelm Felden
985,Hugo Meyer-Welfing
986,El Pili
987,Mary Lou Williams
988,Alfred Newman
989,Mike McDonald
990,Erna Berger
991,Cesare Siepi
992,Giuseppe Di Stefano
993,Coro Del Teatro Alla Scala Di Milano
994,"Orchestra Del Teatro Alla Scala, Milano"
995,Rolando Panerai
996,Tullio Serafin
997,Carlo Pepoli
998,Orchestra Del Teatro Alla Scala Di Milan
999,George Lewis
1000,Johanna Martzy
1001,Jean Antonietti
1002,Δημήτρης Μπαγιαντέρας
1003,Μανώλης Χιώτης
1004,Cab Calloway
1005,Ebe Ticozzi
1006,Jennifer Vyvyan
1007,Ernest Lush
1008,Sir Clifford Curzon
1009,Athanase Sika
1010,Benay Venuta
1011,Wardell Gray
1012,Engelbert Humperdinck
1013,Elisabeth Grümmer
1014,Sir Peter Pears
1015,Charlie Mariano
1016,Angelo Mercuriali
1017,Carlo Forti
1018,Antonino Votto
1019,Orchestra Della Rai di Torino
1020,Orchestra Sinfonica della RAI de Torino
1021,RCA Victor Symphony Orchestra
1022,The Sweetback Sisters
1023,Supantho Basu
1024,Leonid Hambro
1025,Lefty Frizzell
1026,Bhanumathi Ramakrishna
1027,Mario Zan
1028,Daniel Barenboim
1029,James P. Nichols
1030,Orlando Silva
1031,Léo Peracchi
1032,Mayukh Hazarika
1033,Arthur Sullivan
1034,Muriel Harding
1035,Yvonne Dean
1036,Ann Drummond-Grant
1037,Beryl Dixon
1038,Neville Griffith
1039,Fisher Morgan
1040,Peter Pratt
1041,Donald Adams
1042,New Symphony Orchestra
1043,Isidore Godfrey
1044,Franz Lehár
1045,Emmy Loose/Philharmonia Orchestra/Otto Ackermann
1046,Otto Ackermann
1047,Nicolai Gedda/Otakar Kraus/Philharmonia Orchestra/Philharmonia Chorus/Otto Ackermann
1048,Bette Davis
1049,Hiram Sherman
1050,"Coro di Torino della RAI, Orchestra di Torino della RAI, Antonino Votto"
1051,Coro di Torino della RAI
1052,Arthur Lyman
1053,Sabine Sommerkamp
1054,Giorgos Mitsakis
1055,Γιάννης Τατασσόπουλος
1056,Στάρος Παγιουμτζής
1057,Jairam Shiledar
1058,"Alvaro Cordova/Orchestra del Teatro alla Scala, Milano/Victor de Sabata"
1059,Alvaro Cordova
1060,Victor de Sabata
1061,Alan Mills
1062,Walter Gieseking
1063,Anne Lloyd
1064,Jimmy Carroll
1065,Calcutta Youth Choir
1066,Jazz Majestic Orchestra
1067,Gisela Prugel
1068,Jeffrey Skitch
1069,Sacha Guitry
1070,Jacques Jansen
1071,Fedora Barbieri
1072,Count Basie
1073,Wolfgang Schneiderhan
1074,Solisten des Bayerischen Rundfunkchors
1075,Bayerischer Rundfunkchor
1076,Bayerisches Rundfunkorchester
1077,Eugen Jochum
1078,Hector Berlioz
1079,Charlie Parker
1080,Vera Hall and Dock Reed
1081,Josef Metternich
1082,Lionel Hampton
1083,Paul Lingle
1084,Helena Braun
1085,Ferdinand Frantz
1086,Domenico Modugno
1087,Vittore Veneziani
1088,Anna Maria Canali
1089,Orchestra del Maggio Musicale Fiorentino
1090,Group of Hanunóo musicians
1091,Carolyn Leigh
1092,Thelonious Monk Trio
1093,Art Blakey Quintet
1094,Oscar Peterson
1095,Paul Bley
1096,Jackie Gleason
1097,Judy Garland
1098,Sidney Harth
1099,Art Blakey
1100,Cuco Sánchez
1101,Odetta
1102,Larry
1103,Meredydd Evans
1104,Kenny Drew
1105,Buddy DeFranco
1106,Louis Armstrong
1107,Pete Seeger
1108,Janamma David
1109,Emerante de Pradines
1110,Harry Bordon
1111,Django Reinhardt
1112,Jack Cassidy
1113,Holly Harris
1114,Ethel Merman
1115,Mitzi Gaynor
1116,Sudhir Phadke
1117,Louise Bennett
1118,Chet Baker
1119,Harry James
1120,Louie Bellson
1121,Thelonious Monk
1122,Robert de Visée
1123,Erroll Garner
1124,Johnnie Ray
1125,Dinah Washington
1126,Clifford Brown
1127,Michel LaRue
1128,Alex Foster
1129,The Drinking Gourds
1130,La Sonora Matancera
1131,Moose Charlap
1132,Vic Damone
1133,Robert Smale & His Orchestra
1134,Alonso Mudarra
1135,Joe Gordon
1136,William Steinberg
1137,Harry Belafonte
1138,Andre Kostelanetz
1139,Portia Nelson
