eventid,iyear,imonth,iday,country,country_txt,region,region_txt,city,latitude,longitude,summary,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,weaptype1,weaptype1_txt,nkill,nwound
200001120008,2000,1,12,230,Zambia,11,Sub-Saharan Africa,Chavuma district,-13.082966,22.688397,"01/12/2000: In a series of related incidents, National Union for the Total Independence of Angola (UNITA) rebels armed with AK-47s attacked eight Zambian villages in the Chavuma district, stole household goods worth around two million Zambian Kwacha and injured two people.",1,0,2,Armed Assault,14,Private Citizens & Property,National Union for the Total Independence of Angola (UNITA),5,Firearms,0,1
200001120009,2000,1,12,230,Zambia,11,Sub-Saharan Africa,Chavuma district,-13.082966,22.688397,"01/12/2000: In a series of related incidents, National Union for the Total Independence of Angola (UNITA) rebels armed with AK-47s attacked eight Zambian villages in the Chavuma district, stole household goods worth around two million Zambian Kwacha and injured two people.",1,0,2,Armed Assault,14,Private Citizens & Property,National Union for the Total Independence of Angola (UNITA),5,Firearms,0,1
200001120016,2000,1,12,110,Lebanon,10,Middle East & North Africa,Sejoud,33.43407,35.533752,1/12/2000:  A remote-controlled bomb exploded in the vicinity of a military convoy near the Soujod fortifications in South Lebanon.  A South Lebanon Army (SLA) militiaman was killed in the blast. The Hizballah movement claimed responsibility for the attack on the convoy.  Israeli warplanes conducted three air raids on Lebanese guerrilla strongholds in the first 12 hours following the death of the SLA militiaman.,1,0,3,Bombing/Explosion,17,Terrorists/Non-State Militia,Hezbollah,6,Explosives,1,
200001130004,2000,1,13,186,Sri Lanka,6,South Asia,Batticaloa,7.733107,81.68882,01/13/2000: A landmine killed one boy and injured eight other people near Batticaloa. The Liberation Tigers of Tamil Eelam (LTTE) were suspected in the attack.,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Liberation Tigers of Tamil Eelam (LTTE),6,Explosives,1,8
200001140001,2000,1,14,139,Namibia,11,Sub-Saharan Africa,Omega,-17.819342,23.953647,01/14/2000: Four people were killed and five were injured after an attack on their car by National Union for the Total Independence of Angola (UNITA) rebels near Omega.,1,0,2,Armed Assault,14,Private Citizens & Property,National Union for the Total Independence of Angola (UNITA),5,Firearms,4,5
200001140002,2000,1,14,141,Nepal,6,South Asia,Liwang,28.3,82.633333,"01/14/2000: Five people were injured when a Maoist-planted bomb exploded near Liwang village in Rolpa district, Rapti Zone.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives,0,5
200001140004,2000,1,14,167,Russia,9,Eastern Europe,Tambovka,47.3197,47.379,"01/14/2000: A bomb exploded in the courtyard of a private house in Tambovka, Astrakhan Oblast, killing three people. The house was completely destroyed and four surrounding buildings were also seriously damaged. The perpetrators of this attack were unknown.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives,3,0
200001140005,2000,1,14,186,Sri Lanka,6,South Asia,Jaffna,9.666399,80.020477,"01/14/2000:  An unknown lone gunman fired shots at Vaduvalu Vijeyaratnam, chairman of the Point Pedro Urban Council and member of the People's Liberation Organization of Tamil Eelam party (PLOTE) and his bodyguard, as Vijeyaratnam was on his motorcycle in the military-controlled town of Jaffna in Sri Lanka. Vijeyaratnam died instantly, and his bodyguard was rushed to the hospital, where he later died as well from bullet wounds.  No one claimed responsibility for the incident.",1,0,1,Assassination,2,Government (General),Unknown,5,Firearms,2,0
200001150002,2000,1,15,205,Thailand,5,Southeast Asia,Ban Lard (District),13.056153,99.915774,"01/15/2000: Provincial council election candidate Thanapol Nilhoy was killed and four other injured when unknown assailants attacked his car with gun fire in Ban Lard District, Thailand.",1,0,1,Assassination,14,Private Citizens & Property,Unknown,5,Firearms,1,4
200001150003,2000,1,15,8,Angola,11,Sub-Saharan Africa,Catchiungo,-12.565431,16.231217,"01/15/2000: National Union for the Total Independence of Angola (UNITA) rebels killed 36 people around the town of Catchiungo, Huambo Province, mostly elderly people and children, between January 15, 2000 and January 29, 2000. The property of the victims was also plundered.",1,0,2,Armed Assault,14,Private Citizens & Property,National Union for the Total Independence of Angola (UNITA),9,Melee,36,
200001160005,2000,1,16,213,Uganda,11,Sub-Saharan Africa,Bundibugyo,0.707531,30.063635,"01/16/2000: Around 100 Allied Democratic Forces (ADF) rebels attacked the Kirindi displaced persons camp, near Bundibugyo. Twenty-four people were killed and fifteen injured. The rebels attacked with gun fire and set over fifty huts on fire.",1,0,2,Armed Assault,14,Private Citizens & Property,Allied Democratic Forces (ADF),5,Firearms,24,15
200001170001,2000,1,17,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,01/17/2000: A bomb exploded in a busy Karachi district during evening rush hour killing nine people and injuring 25. The bomb was planted in a sugar cane juicer cart by unknown perpetrators. The cart and four shops were destroyed and the windows of nearby buildings were shattered.,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives,9,25
200001170002,2000,1,17,45,Colombia,3,South America,Anapoima,4.54939,-74.53601,01/17/2000: A car bomb exploded outside the National Police club in Anapoima. One civilian was injured and significant damage was caused to surrounding buildings. The perpetrators of this attack were unknown.,1,0,3,Bombing/Explosion,3,Police,Unknown,6,Explosives,0,1
200001170003,2000,1,17,97,Israel,10,Middle East & North Africa,Hadera,32.434788,34.92157,"01/17/2000: A pipe bomb was placed in a trash can exploded near a market in Hadera, Israel, by unknown perpetrators. Twenty-one people were injured.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives,0,21
200001180001,2000,1,18,45,Colombia,3,South America,Bogota,4.667128,-74.106056,01/18/2000: One girl died and six were injured when two grenades exploded in a Bogota school. Authorities suspected Fuerzas Armadas Revolucionarias de Colombia (FARC) involvement.,1,0,3,Bombing/Explosion,8,Educational Institution,Revolutionary Armed Forces of Colombia (FARC),6,Explosives,1,6
200001200001,2000,1,20,186,Sri Lanka,6,South Asia,Morawewa,8.589444,80.835,"01/20/2000: A group suspected to be the Liberation Tigers of Tamil Eelam (LTTE) attacked a police parade in Morawewa, Sri Lanka, with mortars. Four relatives of policemen and one policeman were killed and 25 were wounded.",1,0,3,Bombing/Explosion,3,Police,Liberation Tigers of Tamil Eelam (LTTE),6,Explosives,5,25
200001210001,2000,1,21,185,Spain,8,Western Europe,Madrid,40.465595,-3.696263,01/21/2000: Euskadi ta Askatasuna (ETA) detonated a car bomb in Madrid killing one army officer and injuring two teenage girls.,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Basque Fatherland and Freedom (ETA),6,Explosives,3,
200001210004,2000,1,21,139,Namibia,11,Sub-Saharan Africa,Mayara,-17.965896,21.231715,"01/21/2000: National Union for the Total Independence of Angola (UNITA) rebels entered a private residence in Mayara, Namibia, and opened fire, killing three and injuring six.",1,0,2,Armed Assault,14,Private Citizens & Property,National Union for the Total Independence of Angola (UNITA),5,Firearms,3,6
200001230001,2000,1,23,139,Namibia,11,Sub-Saharan Africa,Tshobe,,,01/23/2000: A girl was killed and two other children injured when a group of around 50 suspected National Union for the Total Independence of Angola (UNITA) rebels attacked a house in the Tshobe village. A grenade was thrown in the girl’s house and the family’s tavern was ransacked with around $4000 of goods stolen.,1,0,3,Bombing/Explosion,14,Private Citizens & Property,National Union for the Total Independence of Angola (UNITA),6,Explosives,1,2
200001240002,2000,1,24,213,Uganda,11,Sub-Saharan Africa,Pabbo,2.997038,32.143426,01/24/2000: The Lord’s Resistance Army (LRA) attacked the Pabbo displaced persons camp and the Sobetra construction camp killing four people and injuring several others.,1,0,2,Armed Assault,14,Private Citizens & Property,Lord's Resistance Army (LRA),5,Firearms,4,
200001240003,2000,1,24,93,Indonesia,5,Southeast Asia,Ujoeng Blang,5.232848,96.707867,"01/24/2000: Four marines were killed and six were wounded when they were attacked by Free Aceh Movement Forces (GAM) during evening prayers at Ujoeng Blang. At the sound of explosions, the marines rushed outside the mosque where they were attacked with gunfire.",1,0,3,Bombing/Explosion,4,Military,Free Aceh Movement (GAM),6,Explosives,4,6
200001240004,2000,1,24,95,Iraq,10,Middle East & North Africa,Pirzeen,,,01/24/2000: Three people were injured when an explosive device went off outside a house in the Pirzeen resettlement camp. The perpetrators were arrested.,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives,0,3
200001240005,2000,1,24,92,India,6,South Asia,Srinagar,34.08374,74.789902,01/24/2000: Islamic militants attacked the Batmaloo Indian Army camp in Srinagar with grenades and gunfire. Two soldiers were killed and six soldiers were injured and two militants were killed.,1,0,2,Armed Assault,4,Military,Muslim extremists,6,Explosives,4,6
200001240008,2000,1,24,186,Sri Lanka,6,South Asia,Kokkadichcholai,7.612269,81.70897,"01/24/2000:  The Liberation Tigers of Tamil Eelam (LTTE)  executed fourteen Sri Lankan civilians,  in Kokkaddicholai in the Batticaloa district in eastern Sri Lanka.  The civilians were under custody in Kokkaddicholai and the LTTE believed them to be secret informers. No additional details were provided.",1,0,9,Unknown,14,Private Citizens & Property,Liberation Tigers of Tamil Eelam (LTTE),13,Unknown,14,0
200001250003,2000,1,25,74,Georgia,7,Central Asia,Saberio,42.646663,41.914019,"01/25/2000: Unidentified persons opened fire on an Abkhaz militia post in Saberio, Gali District, killing two militiamen.",1,0,2,Armed Assault,17,Terrorists/Non-State Militia,Unknown,5,Firearms,2,
200001250004,2000,1,25,8,Angola,11,Sub-Saharan Africa,Soyo,-6.13355,12.366833,"01/25/2000: Suspected National Union for the Total Independence of Angola (UNITA) rebels ambushed a vehicle in Soyo, Angola, killing a Portuguese citizen.",1,0,9,Unknown,14,Private Citizens & Property,National Union for the Total Independence of Angola (UNITA),13,Unknown,1,0
200001260001,2000,1,26,141,Nepal,6,South Asia,Kalimati,27.708754,85.329498,"01/26/2000: An unnamed ultra-leftist group attacked a police station in Kalimati, Salyan district, Nepal, killing three policemen and injuring fourteen. The guerrillas attacked with bombs and rifles.",1,0,2,Armed Assault,3,Police,Left-wing extremists,5,Firearms,,14
200001260002,2000,1,26,92,India,6,South Asia,Doda,33.14575,75.548049,"01/26/2000: An unsuccessful attempt was made to assassinate Congress leader Muzaffar Hussain Beig. Beig escaped uninjured, though one of his security guards was seriously injured. A grenade was thrown onto Beig’s house in Doda, pierced the roof, and exploded inside the house. No group claimed responsiblity for the attack.",0,0,1,Assassination,2,Government (General),Unknown,6,Explosives,0,1
200001260004,2000,1,26,167,Russia,9,Eastern Europe,Smolensk,54.783333,32.05,01/26/2000: A bomb exploded outside the apartment in Smolensk of the general director of the Bakhus Joint-Stock Company. One of his bodyguards was killed and another was injured. The windows on the apartment landing were destroyed as well as three apartment doors. The perpetrators of this attack were unknown.,1,0,3,Bombing/Explosion,1,Business,Unknown,6,Explosives,1,1
200001260005,2000,1,26,182,Somalia,11,Sub-Saharan Africa,Mogadishu,2.059819,45.326115,"01/26/2000: Four people were killed and seven wounded when unknown, armed robbers opened fire in a Mogadishu market.",1,0,2,Armed Assault,14,Private Citizens & Property,Unknown,5,Firearms,4,7
200001270001,2000,1,27,186,Sri Lanka,6,South Asia,Vavuniya,8.757816,80.487907,"01/27/2000: Eleven people were killed and 73 were wounded when a parcel bomb exploded at a post office in Vavuniya, Sri Lanka. The perpetrators were unknown.",1,0,3,Bombing/Explosion,2,Government (General),Unknown,6,Explosives,11,73
200001270004,2000,1,27,141,Nepal,6,South Asia,Khalanga,28.739647,82.203988,"01/27/2000: An unknown man carrying explosives was blown up in a market in Khalanga, Rukum district. It was believed he was carrying the bomb to the police post in the market but the bomb exploded before he reached his destination.",0,0,3,Bombing/Explosion,3,Police,Unknown,6,Explosives,1,
200001270007,2000,7,27,167,Russia,9,Eastern Europe,Makhachkala,42.98542,47.450668,"7/27/2000: Unknown gunmen shot and killed Colonel Gadzhimagomed Gadzhimagomedov, the head of a police training school, in Makhachkala, Dagestan, Russia.  A police driver was also shot, but succeeded in killing two of the attackers, while a third one fled.  There were several weapons left at the scene.  Sources believe that it was a revenge killing.",1,0,2,Armed Assault,3,Police,Gunmen,5,Firearms,3,1
200001280002,2000,1,28,186,Sri Lanka,6,South Asia,Unknown,,,"01/28/2000: In northeastern Sri Lanka, three navy sailors were killed when the Liberation Tigers of Tamil Eelam (LTTE) group opened fire on the sailors who were distributing food to their colleagues. The sailors were attacked with rocket propelled grenades and automatic gunfire.",1,0,2,Armed Assault,4,Military,Liberation Tigers of Tamil Eelam (LTTE),5,Firearms,3,
200001280004,2000,1,28,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,"01/28/2000: A bomb exploded in a Karachi, Pakistan, mosque killing four and wounding 28. The perpetrators were unknown.",1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,Unknown,6,Explosives,4,28
200001280005,2000,1,28,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,01/28/2000: A bomb hidden in a motorcycle exploded outside a Karachi court building injuring four people. The perpetrators were unknown.,1,0,3,Bombing/Explosion,2,Government (General),Unknown,6,Explosives,0,4
200001290003,2000,1,29,6,Algeria,10,Middle East & North Africa,Tagdempt,35.335611,1.228357,"01/29/2000: A municipal guard died after a remotely-operated home-made bomb exploded when a Municipal Guard patrol passed by in Tagdempt, Algeria. The perpetrators of this attack were unknown.",1,0,3,Bombing/Explosion,3,Police,Unknown,6,Explosives,1,
200001290008,2000,1,29,153,Pakistan,6,South Asia,Sialkot,32.493537,74.530343,"01/29/2000: A bomb exploded in a bicycle repair shop in Sialkot, Pakistan, killing two people and injuring three. The perpetrators were unknown.",1,0,3,Bombing/Explosion,1,Business,Unknown,6,Explosives,2,3
200001290010,2000,1,28,235,Yugoslavia,9,Eastern Europe,Surcin,44.795541,20.284861,"1/28/2000: Petar Panic, a long-time security advisor for Vojislav Seselj (the chairman of the Serbian Radical Party), was shot several times and critically wounded near his home in Surcin, a suburb of Belgrade, Yugoslavia.  The assailant, who fled after the attack, was identified as Ljubimir Jovanovic.  Unofficial sources state that the attack took place in the home of Sinisa Mitrovic, following an argument.",1,0,2,Armed Assault,2,Government (General),Gunmen,5,Firearms,0,1
200001300002,2000,1,30,182,Somalia,11,Sub-Saharan Africa,El Ali,4.193211,44.994213,"01/30/2000: Fifteen people in a food convoy near El-Ali, Hiiraan Region, were killed and six were wounded when their vehicle went over a landmine. The group was then attacked with guns by unknown perpetrators.",1,0,3,Bombing/Explosion,14,Private Citizens & Property,Unknown,6,Explosives,15,6
